cik,filename,total_revenue,net_income_loss,revenue_tag
1647822,1647822_2018.htm,,0,
1668186,1668186_2018.htm,,,
928576,928576_2018.htm,,,
1514991,1514991_2018.htm,2971929000,446187000,RevenueFromContractWithCustomerExcludingAssessedTax
1654151,1654151_2018.htm,0,-99854000,RevenueFromContractWithCustomerExcludingAssessedTax
1140310,1140310_2018.htm,11932328,-12970015,Revenues
742126,742126_2018.htm,565928000,49595000,RevenueFromContractWithCustomerExcludingAssessedTax
884144,884144_2018.htm,63626000,-7548000,RevenueFromContractWithCustomerExcludingAssessedTax
886158,886158_2018.htm,12028797000,-137224000,RevenueFromContractWithCustomerExcludingAssessedTax
893958,893958_2018.htm,,,
1346830,1346830_2018.htm,13469000,-74013000,RevenueFromContractWithCustomerExcludingAssessedTax
1349437,1349437_2018.htm,24604310,-10210453,RevenueFromContractWithCustomerIncludingAssessedTax
60519,60519_2018.htm,2828000000,395000000,RevenueFromContractWithCustomerExcludingAssessedTax
1618921,1618921_2018.htm,131537000000,5024000000,RevenueFromContractWithCustomerExcludingAssessedTax
1402057,1402057_2018.htm,16240500000,643000000,RevenueFromContractWithCustomerExcludingAssessedTax
1421517,1421517_2018.htm,74515000,22093000,RevenueFromContractWithCustomerExcludingAssessedTax
783412,783412_2018.htm,40703000,8201000,RevenueFromContractWithCustomerIncludingAssessedTax
1357971,1357971_2018.htm,135482771,2509023,Revenues
1318742,1318742_2018.htm,6055126000,966190000,RevenueFromContractWithCustomerIncludingAssessedTax
1251769,1251769_2018.htm,60854000,-45787000,RevenueFromContractWithCustomerExcludingAssessedTax
880117,880117_2018.htm,876201000,39466000,RevenueFromContractWithCustomerExcludingAssessedTax
1714679,1714679_2018.htm,,,
21076,21076_2018.htm,6124000000,823000000,Revenues
1055160,1055160_2018.htm,,301801000,
915840,915840_2018.htm,2107133000,-45375000,RevenueFromContractWithCustomerExcludingAssessedTax
56047,56047_2018.htm,2970697000,78452000,RevenueFromContractWithCustomerExcludingAssessedTax
1261379,1261379_2018.htm,,-15213772,
884614,884614_2018.htm,7651000000,719000000,Revenues
1679420,1679420_2018.htm,,,
1699018,1699018_2018.htm,186000,344000,RevenueFromContractWithCustomerIncludingAssessedTax
1617898,1617898_2018.htm,,,
1383394,1383394_2018.htm,,,
1093691,1093691_2018.htm,174215000,-85608000,Revenues
773910,773910_2018.htm,14044000000,615000000,RevenueFromContractWithCustomerExcludingAssessedTax
733590,733590_2018.htm,149105000,181450000,Revenues
1262104,1262104_2018.htm,1622000,-40068000,Revenues
1674416,1674416_2018.htm,3124000,-164981000,RevenueFromContractWithCustomerExcludingAssessedTax
1093557,1093557_2018.htm,1031600000,-127100000,RevenueFromContractWithCustomerExcludingAssessedTax
1595627,1595627_2018.htm,10122892,-2355171,RevenueFromContractWithCustomerExcludingAssessedTax
1047122,1047122_2018.htm,27058000000,2909000000,Revenues
1071739,1071739_2018.htm,56435000000,900000000,RevenueFromContractWithCustomerExcludingAssessedTax
1350156,1350156_2018.htm,,-197799,
1622413,1622413_2018.htm,,,
1463913,1463913_2018.htm,11459287,-456136,Revenues
1172222,1172222_2018.htm,2837411000,233200000,RevenueFromContractWithCustomerExcludingAssessedTax
1606757,1606757_2018.htm,1072061000,16752000,RevenueFromContractWithCustomerExcludingAssessedTax
885245,885245_2018.htm,885496000,95608000,RevenueFromContractWithCustomerExcludingAssessedTax
806172,806172_2018.htm,11609599,,Revenues
38264,38264_2018.htm,34499503,1379320,Revenues
1168220,1168220_2018.htm,,,
1710366,1710366_2018.htm,1472790000,152976000,RevenueFromContractWithCustomerExcludingAssessedTax
1535778,1535778_2018.htm,,,
1422768,1422768_2018.htm,10000,-343992,RevenueFromContractWithCustomerIncludingAssessedTax
1343491,1343491_2018.htm,,,
1521466,1521466_2018.htm,,-70307,
1026655,1026655_2018.htm,269485000,-4782000,Revenues
1020569,1020569_2018.htm,1603306000,,RevenueFromContractWithCustomerExcludingAssessedTax
71180,71180_2018.htm,,,
1626941,1626941_2018.htm,,,
317540,317540_2018.htm,4625364000,-19930000,RevenueFromContractWithCustomerExcludingAssessedTax
1572384,1572384_2018.htm,37070832,1455868,Revenues
1115836,1115836_2018.htm,576836000,,RevenueFromContractWithCustomerExcludingAssessedTax
1506251,1506251_2018.htm,75000,-12536638,RevenueFromContractWithCustomerIncludingAssessedTax
704562,704562_2018.htm,53603000,-4215000,RevenueFromContractWithCustomerExcludingAssessedTax
1056943,1056943_2018.htm,,24920000,
874501,874501_2018.htm,511000000,186000000,Revenues
1301501,1301501_2018.htm,8728000,-186512000,Revenues
716688,716688_2018.htm,3341811,-16059,Revenues
66382,66382_2018.htm,2567200000,160500000,RevenueFromContractWithCustomerExcludingAssessedTax
1518621,1518621_2018.htm,,,
78814,78814_2018.htm,2629541000,241811000,RevenueFromContractWithCustomerExcludingAssessedTax
1428389,1428389_2018.htm,,-11615101,
716133,716133_2018.htm,1378200000,-69800000,RevenueFromContractWithCustomerExcludingAssessedTax
1671299,1671299_2018.htm,,,
1571236,1571236_2018.htm,,,
64803,64803_2018.htm,193919000000,-594000000,RevenueFromContractWithCustomerExcludingAssessedTax
1370946,1370946_2018.htm,7057000000,545000000,RevenueFromContractWithCustomerExcludingAssessedTax
1023731,1023731_2018.htm,352586000,-88739000,RevenueFromContractWithCustomerExcludingAssessedTax
1690881,1690881_2018.htm,127580000,-32130000,RevenueFromContractWithCustomerExcludingAssessedTax
790359,790359_2018.htm,126012000,112566000,RevenueFromContractWithCustomerExcludingAssessedTax
1603756,1603756_2018.htm,707000,-32483000,RevenueFromContractWithCustomerExcludingAssessedTax
798081,798081_2018.htm,99011000,1459000,Revenues
916789,916789_2018.htm,1564151000,168545000,RevenueFromContractWithCustomerExcludingAssessedTax
856135,856135_2018.htm,6898,-84571,Revenues
1580095,1580095_2018.htm,,,
1719893,1719893_2018.htm,,-29957,
800457,800457_2018.htm,771828320,-32760340,Revenues
1585364,1585364_2018.htm,4731700000,131000000,RevenueFromContractWithCustomerExcludingAssessedTax
1040719,1040719_2018.htm,658940000,-205094000,Revenues
798783,798783_2018.htm,9200000,24196000,RevenueFromContractWithCustomerExcludingAssessedTax
19411,19411_2018.htm,7314151000,24181000,Revenues
35527,35527_2018.htm,549000000,2193000000,RevenueFromContractWithCustomerIncludingAssessedTax
1510873,1510873_2018.htm,,,
1265131,1265131_2018.htm,,121441000,
726513,726513_2018.htm,2009734000,412571000,Revenues
1575295,1575295_2018.htm,,-23108,
1648383,1648383_2018.htm,5905098,-1805183,RevenueFromContractWithCustomerExcludingAssessedTax
849547,849547_2018.htm,,,
1604464,1604464_2018.htm,,-230699000,
1617959,1617959_2018.htm,,,
1275477,1275477_2018.htm,17759008,,Revenues
1368757,1368757_2018.htm,56901000,1813000,Revenues
1392363,1392363_2018.htm,45734647,-7399965,Revenues
1714973,1714973_2018.htm,,,
1712189,1712189_2018.htm,186865000,4956000,RevenueFromContractWithCustomerExcludingAssessedTax
914025,914025_2018.htm,1674535000,-135561000,RevenueFromContractWithCustomerExcludingAssessedTax
874015,874015_2018.htm,599674000,273741000,RevenueFromContractWithCustomerExcludingAssessedTax
1649096,1649096_2018.htm,109997000,,Revenues
1628228,1628228_2018.htm,47697,-156679,Revenues
806279,806279_2018.htm,,19542000,
1555074,1555074_2018.htm,15926000,-10876000,RevenueFromContractWithCustomerExcludingAssessedTax
1693368,1693368_2018.htm,,,
26172,26172_2018.htm,23771000000,,Revenues
746515,746515_2018.htm,8138365000,618199000,RevenueFromContractWithCustomerExcludingAssessedTax
1726794,1726794_2018.htm,,,
1351285,1351285_2018.htm,173634000,,RevenueFromContractWithCustomerExcludingAssessedTax
1365916,1365916_2018.htm,63604000,-230235000,Revenues
1341766,1341766_2018.htm,52603986,-11206648,Revenues
1630472,1630472_2018.htm,,106941000,
1656681,1656681_2018.htm,,,
1492422,1492422_2018.htm,,-127502000,
1693819,1693819_2018.htm,,,
1089319,1089319_2018.htm,1163860,-1138132,Revenues
1571498,1571498_2018.htm,21700000,-123630000,RevenueFromContractWithCustomerExcludingAssessedTax
1726173,1726173_2018.htm,775690000,19392000,RevenueFromContractWithCustomerExcludingAssessedTax
1437226,1437226_2018.htm,177164000,6691000,RevenueFromContractWithCustomerExcludingAssessedTax
1296445,1296445_2018.htm,719267000,97966000,Revenues
1584423,1584423_2018.htm,1050441000,-467914000,RevenueFromContractWithCustomerExcludingAssessedTax
5981,5981_2018.htm,454272000,24195000,RevenueFromContractWithCustomerExcludingAssessedTax
745543,745543_2018.htm,,-33292,
1400683,1400683_2018.htm,136537,-2275276,Revenues
1280452,1280452_2018.htm,582382000,105268000,RevenueFromContractWithCustomerExcludingAssessedTax
934796,934796_2018.htm,,-818202,
1512077,1512077_2018.htm,647094000,-236599000,RevenueFromContractWithCustomerExcludingAssessedTax
906780,906780_2018.htm,194845000,-138696000,RevenueFromContractWithCustomerExcludingAssessedTax
10456,10456_2018.htm,11099000000,1546000000,RevenueFromContractWithCustomerExcludingAssessedTax
1530721,1530721_2018.htm,5238000000,543000000,RevenueFromContractWithCustomerExcludingAssessedTax
1342423,1342423_2018.htm,124344000,20188000,RevenueFromContractWithCustomerExcludingAssessedTax
1645155,1645155_2018.htm,2505,-1222201,RevenueFromContractWithCustomerExcludingAssessedTax
1441816,1441816_2018.htm,267016000,-99011000,RevenueFromContractWithCustomerExcludingAssessedTax
936340,936340_2018.htm,,1120000000,
778946,778946_2018.htm,738320000,87962000,RevenueFromContractWithCustomerExcludingAssessedTax
914156,914156_2018.htm,190455000,14311000,RevenueFromContractWithCustomerIncludingAssessedTax
49754,49754_2018.htm,780931000,80354000,Revenues
887151,887151_2018.htm,-2000000,380000,Revenues
1582341,1582341_2018.htm,268912,-8332259,Revenues
1408198,1408198_2018.htm,1433984000,507885000,RevenueFromContractWithCustomerExcludingAssessedTax
1163321,1163321_2018.htm,,,
1075706,1075706_2018.htm,,6673000,
1708301,1708301_2018.htm,116431000,133100000,RevenueFromContractWithCustomerExcludingAssessedTax
1102358,1102358_2018.htm,7483418,111093,Revenues
1353282,1353282_2018.htm,,,
1533526,1533526_2018.htm,1765400000,58200000,RevenueFromContractWithCustomerExcludingAssessedTax
1498382,1498382_2018.htm,,11138312,
1578735,1578735_2018.htm,4607971000,207354000,Revenues
1006837,1006837_2018.htm,1579800000,162000000,RevenueFromContractWithCustomerExcludingAssessedTax
1019737,1019737_2018.htm,743614000,120642000,Revenues
1604028,1604028_2018.htm,1384733000,77772000,RevenueFromContractWithCustomerExcludingAssessedTax
1047166,1047166_2018.htm,,,
1495320,1495320_2018.htm,416097000,20757000,RevenueFromContractWithCustomerExcludingAssessedTax
203596,203596_2018.htm,,143112000,
913277,913277_2018.htm,212141000,7301000,RevenueFromContractWithCustomerExcludingAssessedTax
1131312,1131312_2018.htm,,-38511000,
1568319,1568319_2018.htm,1554000,-1526000,Revenues
1681306,1681306_2018.htm,23252,-570434,Revenues
54476,54476_2018.htm,,,
1580988,1580988_2018.htm,54352000,-1064000,Revenues
319201,319201_2018.htm,4036701000,802265000,RevenueFromContractWithCustomerExcludingAssessedTax
26780,26780_2018.htm,8143000000,427000000,RevenueFromContractWithCustomerExcludingAssessedTax
1552743,1552743_2018.htm,,-34087,
1144980,1144980_2018.htm,6874400000,168000000,RevenueFromContractWithCustomerExcludingAssessedTax
744452,744452_2018.htm,3903343,-11692928,RevenueFromContractWithCustomerIncludingAssessedTax
1371285,1371285_2018.htm,303956000,,Revenues
1615942,1615942_2018.htm,,-7770225,
1476204,1476204_2018.htm,430392000,39138000,Revenues
25232,25232_2018.htm,475212000,,Revenues
916907,916907_2018.htm,,20929000,
1558546,1558546_2018.htm,,,
851520,851520_2018.htm,379523000,72254000,RevenueFromContractWithCustomerExcludingAssessedTax
1409947,1409947_2018.htm,12134000,6409000,Revenues
1453099,1453099_2018.htm,,-4918792,
1056757,1056757_2018.htm,3153429,-240127,Revenues
1680525,1680525_2018.htm,2980,,Revenues
1653821,1653821_2018.htm,,-7530361,
1637008,1637008_2018.htm,,,
1651898,1651898_2018.htm,,,
1536720,1536720_2018.htm,,,
1721741,1721741_2018.htm,,1873000,
1624899,1624899_2018.htm,,,
1468328,1468328_2018.htm,516647000,16433000,RevenueFromContractWithCustomerExcludingAssessedTax
1065837,1065837_2018.htm,4642068000,301041000,RevenueFromContractWithCustomerExcludingAssessedTax
1581374,1581374_2018.htm,,,
1049011,1049011_2018.htm,,,
1652201,1652201_2018.htm,,,
1548240,1548240_2018.htm,37596942,-1322441,Revenues
1366744,1366744_2018.htm,307400097,19766205,Revenues
792966,792966_2018.htm,,14949000,
1552328,1552328_2018.htm,,,
1537054,1537054_2018.htm,290153000,-162031000,RevenueFromContractWithCustomerExcludingAssessedTax
715957,715957_2018.htm,10891000000,2447000000,RevenueFromContractWithCustomerExcludingAssessedTax
1523854,1523854_2018.htm,,1383340,
6951,6951_2018.htm,16705000000,3038000000,RevenueFromContractWithCustomerExcludingAssessedTax
1617166,1617166_2018.htm,,,
1580345,1580345_2018.htm,,,
1468910,1468910_2018.htm,,2969569,
355429,355429_2018.htm,5040954000,302361000,Revenues
76267,76267_2018.htm,51116000,113545000,RevenueFromContractWithCustomerIncludingAssessedTax
1166126,1166126_2018.htm,12019000000,-255000000,RevenueFromContractWithCustomerExcludingAssessedTax
1487931,1487931_2018.htm,505030,-3992846,Revenues
1011432,1011432_2018.htm,21311717,,Revenues
100826,100826_2018.htm,,,
945841,945841_2018.htm,2998097000,234461000,Revenues
934543,934543_2018.htm,,-3594,
1130889,1130889_2018.htm,,-28470,
773717,773717_2018.htm,,-10154,
1128281,1128281_2018.htm,11118452,311536,RevenueFromContractWithCustomerIncludingAssessedTax
109198,109198_2018.htm,38972934000,3059798000,RevenueFromContractWithCustomerIncludingAssessedTax
1437578,1437578_2018.htm,1903182000,157981000,RevenueFromContractWithCustomerExcludingAssessedTax
1635484,1635484_2018.htm,,2301322,
914712,914712_2018.htm,645258000,36715000,RevenueFromContractWithCustomerExcludingAssessedTax
1300938,1300938_2018.htm,2867442,-640268,Revenues
1681309,1681309_2018.htm,,-535274,
743238,743238_2018.htm,570527000,15012000,RevenueFromContractWithCustomerExcludingAssessedTax
1521945,1521945_2018.htm,,,
1714367,1714367_2018.htm,,-24136,
1739426,1739426_2018.htm,263701000,-109681000,RevenueFromContractWithCustomerExcludingAssessedTax
1325964,1325964_2018.htm,,-5772958,
814585,814585_2018.htm,162000000,-296000000,Revenues
1142750,1142750_2018.htm,2136074000,141741000,RevenueFromContractWithCustomerExcludingAssessedTax
1058090,1058090_2018.htm,4864985000,176553000,Revenues
731653,731653_2018.htm,,4282000,
1666138,1666138_2018.htm,1835139000,136645000,RevenueFromContractWithCustomerExcludingAssessedTax
1375796,1375796_2018.htm,55165000,-9366000,RevenueFromContractWithCustomerExcludingAssessedTax
1625376,1625376_2018.htm,0,-22501,Revenues
719135,719135_2018.htm,16605000,62719000,RevenueFromContractWithCustomerExcludingAssessedTax
1396877,1396877_2018.htm,676706,638875,Revenues
1585389,1585389_2018.htm,80412257,,RevenueFromContractWithCustomerExcludingAssessedTax
1083743,1083743_2018.htm,4118000,-6965000,Revenues
1434621,1434621_2018.htm,764865000,,Revenues
704051,704051_2018.htm,2903259000,,Revenues
1650739,1650739_2018.htm,105638,-266097,Revenues
1649744,1649744_2018.htm,568102000,23156000,Revenues
1364250,1364250_2018.htm,102500000,116086000,RevenueFromContractWithCustomerExcludingAssessedTax
910467,910467_2018.htm,,-28728209,
1530219,1530219_2018.htm,,,
1657889,1657889_2018.htm,,,
1509228,1509228_2018.htm,,,
56868,56868_2018.htm,118100000,14529000,Revenues
795266,795266_2018.htm,4547002000,170365000,RevenueFromContractWithCustomerExcludingAssessedTax
1405073,1405073_2018.htm,114035000,-19911000,RevenueFromContractWithCustomerExcludingAssessedTax
1640878,1640878_2018.htm,,,
1487371,1487371_2018.htm,69935000,-50500000,RevenueFromContractWithCustomerExcludingAssessedTax
1402737,1402737_2018.htm,412682,-5849832,Revenues
909724,909724_2018.htm,83203569,4398365,RevenueFromContractWithCustomerExcludingAssessedTax
1651588,1651588_2018.htm,,,
59440,59440_2018.htm,1870262000,58105000,RevenueFromContractWithCustomerIncludingAssessedTax
919956,919956_2018.htm,476122000,-7396000,RevenueFromContractWithCustomerExcludingAssessedTax
1625285,1625285_2018.htm,0,-10228,Revenues
9984,9984_2018.htm,1495889000,166186000,RevenueFromContractWithCustomerIncludingAssessedTax
1689813,1689813_2018.htm,0,-240922000,RevenueFromContractWithCustomerExcludingAssessedTax
